id,synset,synonyms,def,instance_count,image_count,frequency,,,,,,
31,baboon.n.01,baboon,large terrestrial monkeys having doglike muzzles,3,1,r,,,,,,
40,bait.n.02,bait|lure,something used to lure fish or other animals into danger so they can be trapped or killed,1,1,r,,,,,,
93,bible.n.01,Bible,the sacred writings of the Christian religions,2,1,r,,,,,,
106,black_flag.n.01,pirate_flag,a flag usually bearing a white skull and crossbones on a black background,1,1,r,,,,,,
123,bolo_tie.n.01,bolo_tie|bolo|bola_tie|bola,a cord fastened around the neck with an ornamental clasp and worn as a necktie,1,1,r,,,,,,
140,bowl.n.08,pipe_bowl,a small round container that is open at the top for holding tobacco,1,1,r,,,,,,
210,car_battery.n.01,car_battery|automobile_battery,a battery in a motor vehicle,1,1,r,,,,,,
234,chalice.n.01,chalice,a bowl-shaped drinking vessel, especially the Eucharistic cup,1,1,r,,,,,
247,chip.n.06,poker_chip,a small disk-shaped counter used to represent money when gambling,21,1,r,,,,,,
251,chocolate_mousse.n.01,chocolate_mousse,dessert mousse made with chocolate,1,1,r,,,,,,
262,clarinet.n.01,clarinet,a single-reed instrument with a straight tube,1,1,r,,,,,,
269,clipper.n.03,clippers_(for_plants),shears for cutting grass or shrubbery (often used in the plural),1,1,r,,,,,,
270,cloak.n.02,cloak,a loose outer garment,1,1,r,,,,,,
275,clutch_bag.n.01,clutch_bag,a woman's strapless purse that is carried in the hand,1,1,r,,,,,,
281,cockroach.n.01,cockroach,any of numerous chiefly nocturnal insects, some are domestic pests,1,1,r,,,,,
291,coloring_material.n.01,coloring_material|colouring_material,any material used for its color,1,1,r,,,,,,
295,compass.n.01,compass,navigational instrument for finding directions,1,1,r,,,,,,
302,cooker.n.01,cooker,a utensil for cooking,1,1,r,,,,,,
313,cornmeal.n.01,cornmeal,coarsely ground corn,1,1,r,,,,,,
321,crab.n.05,crabmeat,the edible flesh of any of various crabs,5,1,r,,,,,,
333,crowbar.n.01,crowbar|wrecking_bar|pry_bar,a heavy iron lever with one end forged into a wedge,1,1,r,,,,,,
352,cylinder.n.04,cylinder,a cylindrical container,3,1,r,,,,,,
354,dagger.n.01,dagger,a short knife with a pointed blade used for piercing or stabbing,1,1,r,,,,,,
388,dove.n.01,dove,any of numerous small pigeons,2,1,r,,,,,,
398,dropper.n.01,dropper|eye_dropper,pipet consisting of a small tube with a vacuum bulb at one end for drawing liquid in and releasing it a drop at a time,1,1,r,,,,,,
414,eel.n.01,eel,an elongate fish with fatty flesh,1,1,r,,,,,,
420,electric_chair.n.01,electric_chair,a chair-shaped instrument of execution by electrocution,1,1,r,,,,,,
426,escargot.n.01,escargot,edible snail usually served in the shell with a sauce of melted butter and garlic,5,1,r,,,,,,
478,fudge.n.01,fudge,soft creamy candy,4,1,r,,,,,,
491,gem.n.02,gemstone,a crystalline rock that can be cut and polished for jewelry,2,1,r,,,,,,
542,hardback.n.01,hardback_book|hardcover_book,a book with cardboard or cloth or leather covers,2,1,r,,,,,,
543,harmonium.n.01,harmonium|organ_(musical_instrument)|reed_organ_(musical_instrument),a free-reed instrument in which air is forced through the reeds by bellows,2,1,r,,,,,,
568,hornet.n.01,hornet,large stinging wasp,1,1,r,,,,,,
580,ice_lolly.n.01,popsicle,ice cream or water ice on a small wooden stick,1,1,r,,,,,,
582,ice_pack.n.01,ice_pack|ice_bag,a waterproof bag filled with ice: applied to the body (especially the head) to cool or reduce swelling,4,1,r,,,,,,
597,jewel.n.01,jewel|gem|precious_stone,a precious or semiprecious stone incorporated into a piece of jewelry,1,1,r,,,,,,
606,keycard.n.01,keycard,a plastic card used to gain access typically to a door,1,1,r,,,,,,
640,lemonade.n.01,lemonade,sweetened beverage of diluted lemon juice,2,1,r,,,,,,
662,mallard.n.01,mallard,wild dabbling duck from which domestic ducks are descended,2,1,r,,,,,,
664,mammoth.n.01,mammoth,any of numerous extinct elephants widely distributed in the Pleistocene,2,1,r,,,,,,
665,manatee.n.01,manatee,sirenian mammal of tropical coastal waters of America,1,1,r,,,,,,
691,milkshake.n.01,milkshake,frothy drink of milk and flavoring and sometimes fruit or ice cream,1,1,r,,,,,,
758,paperback_book.n.01,paperback_book|paper-back_book|softback_book|soft-cover_book,a book with paper covers,3,1,r,,,,,,
769,passenger_ship.n.01,passenger_ship,a ship built to carry passengers,1,1,r,,,,,,
778,peg.n.04,wooden_leg|pegleg,a prosthesis that replaces a missing leg,1,1,r,,,,,,
851,puffer.n.02,puffer_(fish)|pufferfish|blowfish|globefish,fishes whose elongated spiny body can inflate itself with water or air to form a globe,2,1,r,,,,,,
869,rag_doll.n.01,rag_doll,a cloth doll that is stuffed and (usually) painted,3,1,r,,,,,,
890,rodent.n.01,rodent,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing,2,1,r,,,,,,
925,scraper.n.01,scraper,any of various hand tools for scraping,1,1,r,,,,,,
945,sherbert.n.01,sherbert|sherbet,a frozen dessert made primarily of fruit juice and sugar,2,1,r,,,,,,
956,shower_cap.n.01,shower_cap,a tight cap worn to keep hair dry while showering,1,1,r,,,,,,
969,skullcap.n.01,skullcap,rounded brimless cap fitting the crown of the head,1,1,r,,,,,,
972,sling.n.05,sling_(bandage)|triangular_bandage,bandage to support an injured forearm, slung over the shoulder or neck,1,1,r,,,,,
987,soup_bowl.n.01,soup_bowl,a bowl for serving soup,2,1,r,,,,,,
998,spiny_lobster.n.02,crawfish|crayfish,large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters,5,1,r,,,,,,
1003,squid.n.01,squid_(food)|calamari|calamary,(Italian cuisine) squid prepared as food,6,1,r,,,,,,
1005,stagecoach.n.01,stagecoach,a large coach-and-four formerly used to carry passengers and mail on regular routes between towns,1,1,r,,,,,,
1010,steak_knife.n.01,steak_knife,a sharp table knife used in eating steak,1,1,r,,,,,,
1028,string_cheese.n.01,string_cheese,cheese formed in long strings twisted together,1,1,r,,,,,,
1030,subwoofer.n.01,subwoofer,a loudspeaker that is designed to reproduce very low bass frequencies,1,1,r,,,,,,
1057,tambourine.n.01,tambourine,a shallow drum with a single drumhead and with metallic disks in the sides,1,1,r,,,,,,
1075,telephoto_lens.n.01,telephoto_lens|zoom_lens,a camera lens that magnifies the image,1,1,r,,,,,,
1119,triangle.n.05,triangle_(musical_instrument),a percussion instrument consisting of a metal bar bent in the shape of an open triangle,1,1,r,,,,,,
1124,truffle.n.03,truffle_(chocolate)|chocolate_truffle,creamy chocolate candy,4,1,r,,,,,,
1144,vinegar.n.01,vinegar,sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative,1,1,r,,,,,,
1157,walrus.n.01,walrus,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,1,1,r,,,,,,
1158,wardrobe.n.01,wardrobe,a tall piece of furniture that provides storage space for clothes, has a door and rails or hooks for hanging clothes,1,1,r,,,,,
1167,water_pistol.n.01,water_gun|squirt_gun,plaything consisting of a toy pistol that squirts water,1,1,r,,,,,,
52,barge.n.01,barge,a flatbottom boat for carrying heavy loads (especially on canals),3,2,r,,,,,,
78,bedpan.n.01,bedpan,a shallow vessel used by a bedridden patient for defecation and urination,2,2,r,,,,,,
85,beetle.n.01,beetle,insect with hard wing covers,9,2,r,,,,,,
113,blimp.n.02,blimp,a small nonrigid airship used for observation or as a barrage balloon,3,2,r,,,,,,
119,bob.n.05,bob|bobber|bobfloat,a small float usually made of cork, attached to a fishing line,2,1,r,,,,,
151,breechcloth.n.01,breechcloth|breechclout|loincloth,a garment that provides covering for the loins,3,2,r,,,,,,
179,cabana.n.01,cabana,a small tent used as a dressing room beside the sea or a swimming pool,20,2,r,,,,,,
202,canteen.n.01,canteen,a flask for carrying water, used by soldiers or travelers,2,2,r,,,,,
237,checkbook.n.01,checkbook|chequebook,a book issued to holders of checking accounts,2,2,r,,,,,,
244,chime.n.01,chime|gong,an instrument consisting of a set of bells that are struck with a hammer,2,2,r,,,,,,
258,cigar_box.n.01,cigar_box,a box for holding cigars,3,2,r,,,,,,
265,cleat.n.02,cleat_(for_securing_rope),a fastener (usually with two projecting horns) around which a rope can be secured,8,2,r,,,,,,
310,cornbread.n.01,cornbread,bread made primarily of cornmeal,10,2,r,,,,,,
348,curler.n.01,hair_curler|hair_roller|hair_crimper,a cylindrical tube around which the hair is wound to curl it,20,2,r,,,,,,
349,curling_iron.n.01,curling_iron,a cylindrical home appliance that heats hair that has been curled around it,2,2,r,,,,,,
364,diary.n.01,diary|journal,yearly planner book,2,2,r,,,,,,
376,diving_board.n.01,diving_board,a springboard from which swimmers can dive,2,2,r,,,,,,
381,dollar.n.02,dollar|dollar_bill|one_dollar_bill,a piece of paper money worth one dollar,2,2,r,,,,,,
382,dollhouse.n.01,dollhouse|doll's_house,a house so small that it is likened to a child's plaything,2,2,r,,,,,,
397,drone.n.04,drone,an aircraft without a pilot that is operated by remote control,2,2,r,,,,,,
410,earplug.n.01,earplug,a soft plug that is inserted into the ear canal to block sound,39,2,r,,,,,,
446,first-aid_kit.n.01,first-aid_kit,kit consisting of a set of bandages and medicines for giving first aid,2,2,r,,,,,,
458,fleece.n.03,fleece,a soft bulky fabric with deep pile, used chiefly for clothing,2,1,r,,,,,
492,generator.n.02,generator,engine that converts mechanical energy into electrical energy by electromagnetic induction,2,2,r,,,,,,
527,halter.n.03,halter_top,a woman's top that fastens behind the back and neck leaving the back and arms uncovered,3,2,r,,,,,,
574,hourglass.n.01,hourglass,a sandglass timer that runs for sixty minutes,2,2,r,,,,,,
575,houseboat.n.01,houseboat,a barge that is designed and equipped for use as a dwelling,4,2,r,,,,,,
657,machine_gun.n.01,machine_gun,a rapidly firing automatic gun,5,2,r,,,,,,
674,masher.n.02,masher,a kitchen utensil used for mashing (e.g. potatoes),2,2,r,,,,,,
686,microscope.n.01,microscope,magnifier of the image of small objects,3,2,r,,,,,,
690,milk_can.n.01,milk_can,can for transporting milk,8,2,r,,,,,,
714,neckerchief.n.01,neckerchief,a kerchief worn around the neck,4,2,r,,,,,,
759,paperweight.n.01,paperweight,a weight used to hold down a stack of papers,4,2,r,,,,,,
783,pencil_box.n.01,pencil_box|pencil_case,a box for holding pencils,2,2,r,,,,,,
849,prune.n.01,prune,dried plum,8,2,r,,,,,,
850,pudding.n.01,pudding,any of various soft thick unsweetened baked dishes,2,2,r,,,,,,
852,puffin.n.01,puffin,seabirds having short necks and brightly colored compressed bills,4,2,r,,,,,,
858,quesadilla.n.01,quesadilla,a tortilla that is filled with cheese and heated,6,2,r,,,,,,
886,river_boat.n.01,river_boat,a boat used on rivers or to ply a river,3,2,r,,,,,,
905,salad_plate.n.01,salad_plate|salad_bowl,a plate or bowl for individual servings of salad,6,2,r,,,,,,
913,satchel.n.01,satchel,luggage consisting of a small case with a flat bottom and (usually) a shoulder strap,3,2,r,,,,,,
