id,synset,synonyms,def,instance_count,image_count,frequency,,
127,book.n.01,book,a written work or composition that has been published,33353,1903,f,,
207,car.n.01,car_(automobile)|auto_(automobile)|automobile,a motor vehicle with four wheels,10528,1926,f,,
99,bird.n.01,bird,animal characterized by feathers and wings,11557,1821,f,,
948,shoe.n.01,shoe|sneaker_(type_of_shoe)|tennis_shoe,common footwear covering the foot,9374,1916,f,,
118,boat.n.01,boat|ship_(boat),a vessel for travel on water,9981,1758,f,,
540,handle.n.01,handle|grip|handgrip,the appendage to an object that is designed to be held in order to use or move it,8314,1886,f,,
182,cabinet.n.03,locker|storage_locker,a storage compartment for clothes and valuables, usually it has a lock,95,7,r,
59,baseball_cap.n.01,baseball_cap|jockey_cap|golf_cap,a cap with a bill,9028,1934,f,,
1112,traffic_light.n.01,traffic_light,a device to control vehicle traffic often consisting of three or more lights,7298,1890,f,,
1035,sunglasses.n.01,sunglasses,spectacles that are darkened or polarized to protect the eyes from the glare of the sun,5603,1931,f,,
617,knob.n.02,knob,a round handle often found on a door,8432,1567,f,,
947,shirt.n.01,shirt,a garment worn on the upper half of the body,10177,1942,f,,
981,sock.n.01,sock,cloth covering for the foot, worn inside the shoe, reaches to between the ankle and the knee,6866,1945,f
544,hat.n.01,hat,"headwear that protects the head from bad weather, sun, or worn for fashion",7213,1932,f,,
451,flag.n.01,flag,emblem usually consisting of a rectangular piece of cloth of distinctive design (do not include pole),7007,1908,f,,
94,bicycle.n.01,bicycle|bike_(bicycle),a wheeled vehicle that has two wheels and is moved by foot pedals,4566,1852,f,,
385,doorknob.n.01,doorknob|doorhandle,a knob used to open a door (often called `doorhandle' in Great Britain),4072,1710,f,,
132,boot.n.01,boot,footwear that covers the whole foot and lower leg,4194,1406,f,,
3,airplane.n.01,airplane|aeroplane,an aircraft that has a fixed wing and is powered by propellers or jets,3720,1911,f,,
173,bus.n.01,bus_(vehicle)|autobus|charabanc|double-decker|motorbus|motorcoach,a vehicle carrying many passengers, used for public transport,3281,1808,f,
698,monitor.n.04,monitor_(computer_equipment) computer_monitor,a computer monitor,2955,1402,f,,
296,computer_keyboard.n.01,computer_keyboard|keyboard_(computer),a keyboard that is a data input device for computers,2745,1871,f,,
1161,watch.n.01,watch|wristwatch,"a small, portable timepiece",2703,1923,f,,
23,ashcan.n.01,trash_can|garbage_can|wastebin|dustbin|trash_barrel|trash_bin,a bin that holds rubbish until it is collected,2722,1883,f,,
995,spectacles.n.01,spectacles|specs|eyeglasses|glasses,optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision,3040,1969,f,,
1115,train.n.01,train_(railroad_vehicle)|railroad_train,public or private transport provided by a line of railway cars coupled together and drawn by a locomotive,2192,1517,f,,
189,camera.n.01,camera,equipment for taking photographs,2471,1391,f,,
881,remote_control.n.01,remote_control,a device that can be used to control a machine or apparatus from a distance,2467,1096,f,,
628,lampshade.n.01,lampshade,a protective ornamental shade used to screen a light bulb from direct view,2475,1210,f,,
1077,television_receiver.n.01,television_set|tv|tv_set,an electronic device that receives television signals and displays them on a screen,2205,1900,f,,
705,mouse.n.04,mouse_(computer_equipment)|computer_mouse,a computer input device that controls an on-screen pointer (does not include trackpads / touchpads),1832,1337,f,,
361,desk.n.01,desk,a piece of furniture with a writing surface and usually drawers or other compartments,1662,1100,f,,
1102,toothbrush.n.01,toothbrush,small brush, has long handle, used to clean teeth,1683,745,f
751,pan.n.01,pan_(for_cooking)|cooking_pan,cooking utensil consisting of a wide metal vessel,643,229,f,,
781,pen.n.01,pen,a writing implement with a point from which ink flows,987,339,f,,
1136,urinal.n.01,urinal,a plumbing fixture (usually attached to the wall) used by men to urinate,381,139,f,,
802,pigeon.n.01,pigeon,wild and domesticated birds having a heavy body and short legs,1850,87,c,,
1021,stove.n.01,stove|kitchen_stove|range_(kitchen_appliance)|kitchen_range|cooking_stove,a kitchen appliance used for cooking food,1133,1037,f,,
1072,telephone.n.01,telephone|phone|telephone_set,electronic device for communicating by voice over long distances (includes wired and wireless/cell phones),945,772,f,,
68,bathtub.n.01,bathtub|bathing_tub,a large open container that you fill with water and use to wash the body,868,823,f,,
756,paper_plate.n.01,paper_plate,a disposable plate made of cardboard,957,328,f,,
1142,vest.n.01,vest|waistcoat,a man's sleeveless garment worn underneath a coat,1313,729,f,,
278,coat_hanger.n.01,coat_hanger|clothes_hanger|dress_hanger,a hanger that is shaped like a person's shoulders,282,44,c,,
605,key.n.01,key,metal instrument used to unlock a lock,447,195,f,,
